,tweet,polarity,sentiment,domain,label
0,the real reason why you be sad you be attach to people who have be distant with you you be pay attention to people who ignore you you make time for people who be too busy for you you be too care to people who be care less when it come to you let those people go,0.1027,Positive,Depression,Depression
1,my biggest problem be overthinking everything,-0.4019,Negative,General,Depression
2,the worst sadness be the sadness you have teach yourself to hide,-0.891,Negative,Depression,Depression
3,i cannot make you understand i cannot make anyone understand what be happen inside me i cannot even explain it to myself,0,Neutral,General,Depression
4,i do not think anyone really understand how tire it be to act okay and always be the strong one when in reality you be close to the edge,0.6369,Positive,General,Depression
5,the worst feel be when something be kill you inside and you have to act like you do not care,-0.8729,Negative,General,Depression
6,when i be hurt i shut down i turn into a total bitch i shut off my emotions i act differently towards everything and everyone and i hate it,-0.8979,Negative,General,Depression
7,overthinking ruin you ruin the situation twist things around make you worry and just make everything much worse than it actually be,-0.9274,Negative,General,Depression
8,i be disappoint in myself because i know i be better than the choices i keep make and the things i choose to deal with,0.0516,Positive,General,Depression
9,i be just so tire of this my body be tire my mind be a mess i just really want to lay in bed and never get up i be just so tire of life,-0.228,Negative,General,Depression
